about	~에 관하여
across	가로질러
act	행동하다
address	주소
afraid	두려워하여,걱정하여
after	후에
afternoon	오후
age	나이
ago	전에
air	공기
airport	공항
album	앨범
all	모두
along	따라서
always	항상
among	~사이에
and	그리고
angry	화난
animal	동물
answer	대답하다
any	무슨, 조금도
apartment	아파트
apple	사과
arm	팔
around	주변에, ~경에
arrive	도착하다
as	~와 같이
ask	묻다
at	~에
aunt	아주머니, 이모
autumn	가을
away	저리로,떨어진
baby	아기
baby	아기
back	등, 뒤
bad	나쁜
bag	가방
ball	공
balloon	풍선
banana	바나나
band	무리, 결합시키다
bank	은행
base	기초, 토대
basket	바구니
bath	목욕
be	이다
beach	해변
bear	곰
beautiful	아름다운
because	왜냐하면
become	~이 되다
bed	침대
before	전에, 앞에
begin	시작하다
behind	~뒤에
bell	종
below	아래에
bench	긴의자, 벤치
beside	옆에
between	~사이에
big	큰
bike	자전거
bird	새
birthday	생일
black	검은색(의)
blow	불다
blue	파란색(의)
board	널빤지, 마분지
boat	배
body	몸
book	책
bottle	병
bowl	그릇, 사발
box	상자
boy	소년
bread	빵
break	깨뜨리다
breakfast	아침식사
bridge	다리
bright	밝은
bright	밝은
bring	가져오다
brother	남자형제
brown	갈색
brush	솔질하다
build	짓다
burn	타다
bus	버스
busy	바쁜
but	그러나
butter	버터
button	단추
buy	사다
by	~옆에
bye	안녕
cake	케이크
calendar	달력
call	부르다
camera	카메라, 사진기
camp	야영지, 야영
can	할 수 있다
candle	양초
candy	사탕
cap	모자
capital	수도, 서울
captain	선장, 장
car	차
card	카드
care	걱정, 돌보다
carry	운반하다, 가지고가다
case	경우, 사건
cassette	카세트, 작은 상자
cat	고양이
catch	잡다
ceiling	천정
center	중앙
chair	의자
chalk	분필
chance	기회
change	바꾸다
cheap	싼
cheese	치즈
chicken	닭, 병아리
child	어린이
chopstick	젓가락
church	교회
circle	동그라미, 원
city	도시
class	종류, 등급, 반
classmate	급우, 반 친구
clean	깨끗한
climb	오르다
clock	시계
close	닫다
clothes	옷
cloud	구름
club	동호회,클럽
coat	외투, 코트
coffee	커피
coin	동전
cold	찬, 추운
color	색깔
come	오다, 가다
computer	컴퓨터
cook	요리하다, 요리사
cool	선선한
copy	복사하다
corner	모퉁이
count	세다
country	시골, 나라
course	과정
cousin	사촌
cover	덮다
cow	소
crayon	크레용
cream	크림
cross	건너다
cry	울다
cup	컵
curtain	커튼
cut	자르다
dad	아빠
dance	춤추다
danger	위험
dark	어두운
date	날짜
daughter	딸
day	날, 낮
dead	죽은
deep	깊은
deer	사슴
desk	책상
dial	다이얼, 눈금판
diary	일기
dictionary	사전
die	죽다
dinner	저녁
dirty	더러운
dish	접시
do	하다
doctor	의사
doll	인형
dollar	달러
dolphin	돌고래
door	문
down	아래로
draw	그리다
dream	꿈
dress	여성복, 드레스
drink	마시다
drive	운전하다
drop	떨어뜨리다
drum	북
dry	마른, 건조한
duck	오리
